Node Label    RF.M	agnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
249	0	0	0	0	34,6025	-1,58E-15	34,6025	-1,58E-14
250	0	0	0	0	35,2907	-7,29E-16	35,2907	-3,01E-15
251	0	0	0	0	35,9862	1,21E-15	35,9862	1,26E-15
252	0	0	0	0	36,6998	2,28E-15	36,6998	8,62E-15
253	0	0	0	0	37,4276	-2,57E-16	37,4276	-1,42E-14
254	0	0	0	0	38,1683	-2,44E-15	38,1683	-1,07E-15
255	0	0	0	0	38,9195	-4,37E-16	38,9195	1,01E-14
256	0	0	0	0	39,6814	-3,12E-16	39,6814	-2,25E-15
257	0	0	0	0	40,4479	3,40E-16	40,4479	5,13E-16
258	0	0	0	0	41,2253	3,54E-16	41,2253	-8,96E-15
259	0	0	0	0	42,0093	1,08E-15	42,0093	-1,52E-14
260	0	0	0	0	42,8004	3,89E-16	42,8004	-1,16E-15
261	0	0	0	0	43,5951	7,70E-16	43,5951	4,29E-15
262	0	0	0	0	44,3932	1,58E-15	44,3932	-2,13E-15
263	0	0	0	0	45,1919	-2,57E-16	45,1919	-3,75E-16
264	0	0	0	0	26,6102	1,74211	20,3	17,1166
265	0	0	0	0	22,0475	8,71E-01	20,3	8,5583
266	0	0	0	0	21,0552	2,84E-16	21,0552	1,37E-16
267	0	0	0	0	21,8105	-1,21E-15	21,8105	-3,63E-15
268	0	0	0	0	22,5657	7,91E-16	22,5657	-4,42E-15
269	0	0	0	0	23,321	-8,40E-16	23,321	-3,83E-15
270	0	0	0	0	24,0762	3,05E-16	24,0762	-2,39E-16
271	0	0	0	0	26,2794	8,71E-01	24,8315	8,5583
272	0	0	0	0	30,2095	1,74211	24,8315	17,1166
273	0	0	0	0	26,6102	-1,74211	20,3	-17,1166
274	0	0	0	0	22,0475	-8,71E-01	20,3	-8,5583
275	0	0	0	0	19,5226	-4,23E-16	19,5226	-3,75E-16
276	0	0	0	0	18,7246	1,25E-16	18,7246	3,82E-16
277	0	0	0	0	17,9267	-1,46E-16	17,9267	-1,80E-15
278	0	0	0	0	17,1326	-7,22E-16	17,1326	-2,50E-15
279	0	0	0	0	16,3378	2,98E-16	16,3378	-2,55E-15
280	0	0	0	0	15,5534	-5,83E-16	15,5534	-2,57E-15
281	0	0	0	0	14,776	1,67E-16	14,776	-2,92E-15
282	0	0	0	0	14,0118	-2,50E-16	14,0118	-2,25E-15
283	0	0	0	0	13,2482	-6,52E-16	13,2482	-4,10E-15
284	0	0	0	0	12,4977	1,39E-16	12,4977	-2,44E-15
285	0	0	0	0	11,7547	-3,75E-16	11,7547	-3,83E-15
286	0	0	0	0	11,0273	-6,38E-16	11,0273	-3,32E-15
287	0	0	0	0	10,3133	-4,09E-16	10,3133	-1,72E-15
288	0	0	0	0	9,62085	-5,97E-16	9,62085	-3,01E-15
289	0	0	0	0	8,93101	-5,34E-16	8,93101	-1,79E-15
290	0	0	0	0	8,2604	-4,37E-16	8,2604	-1,17E-15
291	0	0	0	0	7,60934	-7,22E-16	7,60934	-9,44E-16
292	0	0	0	0	6,97149	2,36E-16	6,97149	-2,64E-16
293	0	0	0	0	6,35808	-5,93E-16	6,35808	-3,09E-15
294	0	0	0	0	5,76736	2,36E-16	5,76736	-1,11E-16
295	0	0	0	0	5,20894	-1,11E-16	5,20894	-5,55E-17
296	0	0	0	0	4,65451	4,61E-16	4,65451	-1,75E-15
297	0	0	0	0	4,12962	-4,82E-16	4,12962	-2,86E-15
298	0	0	0	0	3,63273	7,74E-16	3,63273	-2,61E-15
299	0	0	0	0	3,15657	-5,20E-16	3,15657	-3,08E-15
300	0	0	0	0	2,71239	3,89E-16	2,71239	-5,38E-15
301	0	0	0	0	2,29934	-2,32E-16	2,29934	-4,72E-15
302	0	0	0	0	1,9289	-8,67E-18	1,9289	-5,75E-15
303	0	0	0	0	1,56196	1,28E-16	1,56196	-5,75E-15
304	0	0	0	0	1,23957	-1,11E-16	1,23957	-7,38E-15
305	0	0	0	0	9,44E-01	1,84E-16	9,44E-01	-7,83E-15
306	0	0	0	0	6,92E-01	1,17E-16	6,92E-01	-5,86E-15
307	0	0	0	0	4,72E-01	2,13E-16	4,72E-01	-3,14E-15
308	0	0	0	0	8,56348	-1,40E-01	3,06E-01	-8,55686
309	0	0	0	0	17,1187	-2,80E-01	3,06E-01	-17,1137
310	0	0	0	0	30,2095	-1,74211	24,8315	-17,1166
311	0	0	0	0	26,2794	-8,71E-01	24,8315	-8,5583
312	0	0	0	0	8,56348	1,40E-01	3,06E-01	8,55686
313	0	0	0	0	17,1187	2,80E-01	3,06E-01	17,1137
314	0	0	0	0	25,6667	2,87E-01	1,72E-01	25,6645
315	0	0	0	0	25,6245	1,56E-01	1,23E-01	25,6237
316	0	0	0	0	25,603	9,16E-03	5,94E-02	25,6029
317	0	0	0	0	25,6261	-1,43E-01	3,52E-02	25,6257
318	0	0	0	0	17,111	-2,13E-01	1,03E-34	17,1097
319	0	0	0	0	8,55551	-1,07E-01	1,03E-34	8,55485
320	0	0	0	0	5,10E-02	2,03E-16	-5,10E-02	-3,40E-16
321	0	0	0	0	3,52E-02	-9,55E-17	-3,52E-02	-3,54E-16
322	0	0	0	0	3,58E-02	2,52E-16	3,58E-02	-1,94E-16
323	0	0	0	0	1,72E-01	2,03E-16	1,72E-01	-5,83E-16
324	0	0	0	0	25,1661	-3,00E-01	-7,37114	24,0605
325	0	0	0	0	26,8646	-2,80E-01	-14,7423	22,4565
326	0	0	0	0	30,3956	-2,60E-01	-22,1134	20,8524
327	0	0	0	0	35,2122	-2,40E-01	-29,4846	19,2484
328	0	0	0	0	40,8621	-2,20E-01	-36,8557	17,6444
329	0	0	0	0	47,0462	-2,00E-01	-44,2268	16,0403
330	0	0	0	0	53,5798	-1,80E-01	-51,598	14,4363
331	0	0	0	0	60,3494	-1,60E-01	-58,9691	12,8323
332	0	0	0	0	67,2839	-1,40E-01	-66,3403	11,2282
333	0	0	0	0	74,3371	-1,20E-01	-73,7114	9,62421
334	0	0	0	0	81,4783	-9,99E-02	-81,0826	8,02017
335	0	0	0	0	88,6861	-7,99E-02	-88,4537	6,41614
336	0	0	0	0	95,9456	-5,99E-02	-95,8248	4,8121
337	0	0	0	0	103,246	-4,00E-02	-103,196	3,20807
338	0	0	0	0	110,579	-2,00E-02	-110,567	1,60403
339	0	0	0	0	118,025	-1,40E-15	-118,025	2,89E-15
340	0	0	0	0	118,052	-9,44E-16	-118,052	4,23E-16
341	0	0	0	0	117,934	-1,18E-15	-117,934	-4,07E-15
342	0	0	0	0	117,766	6,11E-16	-117,766	-5,83E-16
343	0	0	0	0	110,299	-2,63E-02	-110,287	-1,60441
344	0	0	0	0	102,964	-5,25E-02	-102,914	-3,20882
345	0	0	0	0	95,6623	-7,88E-02	-95,5411	-4,81323
346	0	0	0	0	88,4016	-1,05E-01	-88,1683	-6,41764
347	0	0	0	0	81,1928	-1,31E-01	-80,7954	-8,02205
348	0	0	0	0	74,0511	-1,58E-01	-73,4225	-9,62646
349	0	0	0	0	66,9979	-1,84E-01	-66,0497	-11,2309
350	0	0	0	0	60,0646	-2,10E-01	-58,6768	-12,8353
351	0	0	0	0	53,2978	-2,36E-01	-51,3039	-14,4397
352	0	0	0	0	46,7699	-2,63E-01	-43,931	-16,0441
353	0	0	0	0	40,5962	-2,89E-01	-36,5582	-17,6485
354	0	0	0	0	34,9651	-3,15E-01	-29,1853	-19,2529
355	0	0	0	0	30,1816	-3,41E-01	-21,8124	-20,8573
356	0	0	0	0	26,7052	-3,68E-01	-14,4396	-22,4617
357	0	0	0	0	25,0853	-3,94E-01	-7,06671	-24,0662
358	0	0	0	0	49,8913	-8,08E-01	49,2498	-7,93398
359	0	0	0	0	48,0597	-1,53598	45,6029	-15,0913
360	0	0	0	0	45,0528	-2,11409	39,9228	-20,7714
361	0	0	0	0	40,939	-2,48526	32,7655	-24,4183
362	0	0	0	0	25,7699	4,00E-01	8,2388	24,4142
363	0	0	0	0	25,8539	3,40E-01	15,3949	20,7679
364	0	0	0	0	25,9201	2,47E-01	21,0741	15,0888
365	0	0	0	0	25,9622	1,30E-01	24,7203	7,93264
366	0	0	0	0	25,8361	1,18E-16	25,8361	-5,83E-16
367	0	0	0	0	25,7129	-2,38E-15	25,7129	2,05E-15
368	0	0	0	0	25,6453	-1,89E-15	25,6453	7,81E-15
369	0	0	0	0	25,6246	-2,39E-16	25,6246	5,32E-15
370	0	0	0	0	25,6647	-9,88E-02	24,4084	7,93078
371	0	0	0	0	25,6652	-1,88E-01	20,7631	15,0852
372	0	0	0	0	25,6659	-2,59E-01	15,0852	20,7631
373	0	0	0	0	25,6664	-3,04E-01	7,93078	24,4084
374	0	0	0	0	110,579	2,00E-02	-110,567	-1,60403
375	0	0	0	0	103,246	4,00E-02	-103,196	-3,20807
376	0	0	0	0	95,9456	5,99E-02	-95,8248	-4,8121
377	0	0	0	0	88,6861	7,99E-02	-88,4537	-6,41614
378	0	0	0	0	81,4783	9,99E-02	-81,0826	-8,02017
379	0	0	0	0	74,3371	1,20E-01	-73,7114	-9,62421
380	0	0	0	0	67,2839	1,40E-01	-66,3403	-11,2282
381	0	0	0	0	60,3494	1,60E-01	-58,9691	-12,8323
382	0	0	0	0	53,5798	1,80E-01	-51,598	-14,4363
383	0	0	0	0	47,0462	2,00E-01	-44,2268	-16,0403
384	0	0	0	0	40,8621	2,20E-01	-36,8557	-17,6444
385	0	0	0	0	35,2122	2,40E-01	-29,4846	-19,2484
386	0	0	0	0	30,3956	2,60E-01	-22,1134	-20,8524
387	0	0	0	0	26,8646	2,80E-01	-14,7423	-22,4565
388	0	0	0	0	25,1661	3,00E-01	-7,37114	-24,0605
389	0	0	0	0	25,6261	1,43E-01	3,52E-02	-25,6257
390	0	0	0	0	25,603	-9,16E-03	5,94E-02	-25,6029
391	0	0	0	0	25,6245	-1,56E-01	1,23E-01	-25,6237
392	0	0	0	0	25,6667	-2,87E-01	1,72E-01	-25,6645
393	0	0	0	0	25,6724	-4,98E-01	2,89E-01	25,666
394	0	0	0	0	25,6776	-6,09E-01	5,10E-01	25,6653
395	0	0	0	0	25,6678	-7,79E-01	8,82E-01	25,6408
396	0	0	0	0	25,6844	-8,93E-01	1,25802	25,638
397	0	0	0	0	24,762	-9,15E-01	-5,77627	24,0615
398	0	0	0	0	26,037	-8,54E-01	-13,1477	22,4574
399	0	0	0	0	29,2664	-7,93E-01	-20,5192	20,8533
400	0	0	0	0	33,8962	-7,32E-01	-27,8906	19,2492
401	0	0	0	0	39,4362	-6,71E-01	-35,262	17,6451
402	0	0	0	0	45,5555	-6,10E-01	-42,6335	16,041
403	0	0	0	0	52,0501	-5,49E-01	-50,0049	14,4369
404	0	0	0	0	58,796	-4,88E-01	-57,3764	12,8328
405	0	0	0	0	65,7156	-4,27E-01	-64,7478	11,2287
406	0	0	0	0	72,7595	-3,66E-01	-72,1192	9,6246
407	0	0	0	0	79,8949	-3,05E-01	-79,4907	8,0205
408	0	0	0	0	87,0991	-2,44E-01	-86,8621	6,4164
409	0	0	0	0	94,3565	-1,83E-01	-94,2336	4,8123
410	0	0	0	0	101,656	-1,22E-01	-101,605	3,2082
411	0	0	0	0	108,988	-6,10E-02	-108,976	1,6041
