Node Label    RF.Ma	gnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
341	0	0	0	0	180,039	-9,60E-02	180,039	-9,15E-02
342	0	0	0	0	180,097	-7,50E-02	180,097	-1,22E-01
343	0	0	0	0	168,951	-9,11E-02	168,935	2,30237
344	0	0	0	0	157,764	-1,13E-01	157,692	4,74895
345	0	0	0	0	146,626	-1,34E-01	146,449	7,19552
346	0	0	0	0	135,55	-1,55E-01	135,206	9,6421
347	0	0	0	0	124,552	-1,77E-01	123,963	12,0887
348	0	0	0	0	113,654	-1,98E-01	112,721	14,5352
349	0	0	0	0	102,889	-2,20E-01	101,478	16,9818
350	0	0	0	0	92,3028	-2,41E-01	90,2347	19,4284
351	0	0	0	0	81,9651	-2,63E-01	78,9917	21,875
352	0	0	0	0	71,9828	-2,84E-01	67,7488	24,3215
353	0	0	0	0	62,5263	-3,06E-01	56,5059	26,7681
354	0	0	0	0	53,8734	-3,27E-01	45,2629	29,2147
355	0	0	0	0	46,4749	-3,49E-01	34,02	31,6613
356	0	0	0	0	41,0156	-3,70E-01	22,7771	34,1078
357	0	0	0	0	38,333	-3,91E-01	11,5341	36,5544
358	0	0	0	0	17,336	-8,71E-01	-12,3628	12,1218
359	0	0	0	0	24,0672	-1,60043	-6,80503	23,0296
360	0	0	0	0	31,8147	-2,17729	1,85142	31,686
361	0	0	0	0	39,4509	-2,54526	12,7592	37,2438
362	0	0	0	0	39,1956	3,93E-01	-11,8053	-37,3735
363	0	0	0	0	39,0935	3,39E-01	-22,7178	-31,8133
364	0	0	0	0	38,9962	2,51E-01	-31,3779	-23,1532
365	0	0	0	0	38,9137	1,39E-01	-36,9381	-12,2407
366	0	0	0	0	39,0053	1,61E-02	-39,0051	-1,22E-01
367	0	0	0	0	39,1473	2,02E-02	-39,1472	-8,92E-02
368	0	0	0	0	39,2339	2,20E-02	-39,2339	-6,09E-02
369	0	0	0	0	39,274	2,04E-02	-39,274	-3,28E-02
370	0	0	0	0	39,2538	-8,52E-02	-37,3325	-12,1301
371	0	0	0	0	39,2541	-1,78E-01	-31,7569	-23,0727
372	0	0	0	0	39,2545	-2,54E-01	-23,0727	-31,7569
373	0	0	0	0	39,2549	-3,05E-01	-12,1301	-37,3325
374	0	0	0	0	169,129	-5,03E-02	169,111	2,45336
375	0	0	0	0	157,914	-2,52E-02	157,837	4,90671
376	0	0	0	0	146,748	-1,18E-04	146,563	7,36007
377	0	0	0	0	135,645	2,50E-02	135,289	9,81343
378	0	0	0	0	124,62	5,01E-02	124,015	12,2668
379	0	0	0	0	113,698	7,52E-02	112,741	14,7201
380	0	0	0	0	102,91	1,00E-01	101,467	17,1735
381	0	0	0	0	92,3036	1,25E-01	90,1927	19,6269
382	0	0	0	0	81,9494	1,51E-01	78,9187	22,0802
383	0	0	0	0	71,9563	1,76E-01	67,6446	24,5336
384	0	0	0	0	62,4977	2,01E-01	56,3705	26,9869
385	0	0	0	0	53,856	2,26E-01	45,0964	29,4403
386	0	0	0	0	46,4889	2,51E-01	33,8223	31,8936
387	0	0	0	0	41,0879	2,76E-01	22,5482	34,347
388	0	0	0	0	38,4898	3,01E-01	11,2741	36,8003
389	0	0	0	0	39,2392	1,52E-01	3,04E-02	39,2389
390	0	0	0	0	39,206	-2,23E-04	5,01E-02	39,2059
391	0	0	0	0	39,1301	-1,46E-01	1,08E-01	39,1297
392	0	0	0	0	39,0369	-2,78E-01	1,53E-01	39,0356
393	0	0	0	0	39,2542	-5,05E-01	2,90E-01	-39,2499
394	0	0	0	0	39,257	-6,17E-01	5,11E-01	-39,2489
395	0	0	0	0	39,2895	-7,86E-01	8,83E-01	-39,2717
396	0	0	0	0	39,3043	-9,01E-01	1,25952	-39,2738
397	0	0	0	0	38,989	-9,27E-01	12,8689	-36,7923
398	0	0	0	0	41,9852	-8,69E-01	24,1417	-34,3392
399	0	0	0	0	47,6609	-8,11E-01	35,4144	-31,8861
400	0	0	0	0	55,1957	-7,53E-01	46,6871	-29,4331
401	0	0	0	0	63,9355	-6,95E-01	57,9599	-26,98
402	0	0	0	0	73,4516	-6,38E-01	69,2326	-24,527
403	0	0	0	0	83,4788	-5,80E-01	80,5053	-22,0739
404	0	0	0	0	93,8534	-5,22E-01	91,7781	-19,6208
405	0	0	0	0	104,472	-4,64E-01	103,051	-17,1678
406	0	0	0	0	115,267	-4,06E-01	114,324	-14,7147
407	0	0	0	0	126,194	-3,48E-01	125,596	-12,2616
408	0	0	0	0	137,22	-2,90E-01	136,869	-9,80858
409	0	0	0	0	148,324	-2,32E-01	148,142	-7,35552
410	0	0	0	0	159,49	-1,74E-01	159,415	-4,90246
411	0	0	0	0	170,705	-1,16E-01	170,687	-2,4494
412	0	0	0	0	181,551	-5,94E-02	181,551	1,53E-03
413	0	0	0	0	181,147	-6,15E-02	181,147	1,18E-03
