Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
166	0	0	0	0	85,3351	-1,95E-01	-85,3194	-1,62829
167	0	0	0	0	93,4154	-3,76E-02	-93,4154	-2,54E-02
168	0	0	0	0	94,1688	-3,76E-02	-94,1688	-2,03E-02
169	0	0	0	0	94,9222	-3,76E-02	-94,9222	-1,52E-02
170	0	0	0	0	95,6756	-3,76E-02	-95,6756	-1,02E-02
171	0	0	0	0	96,4289	-3,76E-02	-96,4289	-5,08E-03
172	0	0	0	0	45,3164	8,65E-01	44,6141	7,90011
173	0	0	0	0	43,6797	1,58867	40,9828	15,0269
174	0	0	0	0	40,9931	2,16112	35,3269	20,6828
175	0	0	0	0	37,3203	2,52626	28,2001	24,3141
176	0	0	0	0	33,2201	2,64852	21,0532	25,5602
177	0	0	0	0	33,6986	2,64862	21,8064	25,555
178	0	0	0	0	34,187	2,6487	22,5596	25,5499
179	0	0	0	0	34,6849	2,64874	23,3128	25,5448
180	0	0	0	0	35,1919	2,64875	24,0661	25,5397
181	0	0	0	0	40,8243	2,52658	32,7193	24,2834
182	0	0	0	0	44,9321	2,1614	39,8461	20,6521
183	0	0	0	0	47,9357	1,58887	45,5019	14,9963
184	0	0	0	0	49,7669	8,65E-01	49,1331	7,86958
185	0	0	0	0	49,6312	6,08E-02	49,6312	-2,54E-02
186	0	0	0	0	48,878	6,08E-02	48,878	-2,03E-02
187	0	0	0	0	48,1248	6,08E-02	48,1248	-1,52E-02
188	0	0	0	0	47,3716	6,08E-02	47,3716	-1,02E-02
189	0	0	0	0	46,6185	6,08E-02	46,6184	-5,08E-03
190	0	0	0	0	45,3142	-7,45E-01	44,6141	-7,90011
191	0	0	0	0	43,6757	-1,47385	40,9828	-15,0269
192	0	0	0	0	40,9876	-2,05408	35,3269	-20,6828
193	0	0	0	0	37,3138	-2,42901	28,2001	-24,3141
194	0	0	0	0	32,261	-2,56014	19,5255	-25,5533
195	0	0	0	0	31,7788	-2,57201	18,7362	-25,5388
196	0	0	0	0	31,3069	-2,56803	17,9419	-25,5267
197	0	0	0	0	30,8545	-2,55823	17,1535	-25,5189
198	0	0	0	0	30,4154	-2,5417	16,3652	-25,5111
199	0	0	0	0	29,9986	-2,5176	15,5864	-25,5077
200	0	0	0	0	29,5997	-2,48978	14,8116	-25,5061
201	0	0	0	0	29,2136	-2,44434	14,036	-25,504
202	0	0	0	0	28,8452	-2,42935	13,2959	-25,4826
203	0	0	0	0	28,4914	-2,40012	12,5487	-25,4662
204	0	0	0	0	28,1625	-2,36314	11,8105	-25,4569
205	0	0	0	0	27,8609	-2,31789	11,0866	-25,4547
206	0	0	0	0	27,5861	-2,26972	10,3733	-25,4605
207	0	0	0	0	27,325	-2,20272	9,65564	-25,467
